property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
"3 BHK Apartment for Sale in Pramukh Revanta, Vesu Surat",Super Area,2400 sqft,New Property,Poss. by Jul '24,6 out of 13,Unfurnished,East,Luxurious Property For Sell In Surat Prime Area With all Luxurious Aminities.Read more,"₹5,000 per sqft ",₹1.20 Cr 
"3 BHK Apartment for Sale in Prestige Morar, Pal Surat",Carpet Area,1050 sqft,New Property,Poss. by Jun '25,9 out of 14,Unfurnished,East,,"₹4,582 per sqft ",₹87.5 Lac 
"3 BHK Apartment for Sale in Avadh Onella, Dumas Road Surat",Carpet Area,1485 sqft,New Property,Poss. by Jan '27,5 out of 13,Unfurnished,East,3 bhk apartment with Great Landscape of Campus,"₹5,000 per sqft ",₹1.35 Cr 
"3 BHK Apartment for Sale in Avadh Habitat, Dumas Road Surat",Super Area,2370 sqft,New Property,Poss. by Aug '24,6 out of 12,Unfurnished,East,,"₹4,501 per sqft ",₹1.06 Cr 
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1847 sqft,New Property,Poss. by Dec '25,8 out of 14,Unfurnished,East,"This 2 BHK flat boasts a prime location, touching the 200foot canal road, offering easy accessibility. All amenities are conveniently located at podium level, enhancing the overall living experience. Additionally, the three levels of parking, equipped with electric points, provide ample parking space and added convenience for residents. Enjoy the perfect combination of convenience and comfort in this welldesigned residence.Read more","₹4,293 per sqft ",₹79.3 Lac 
"3 BHK Apartment for Sale in Sattvam, Pal Surat",Super Area,2061 sqft,New Property,Poss. by Dec '24,7 out of 13,Unfurnished,East,Luxurious Flat for Sell In Surat City Prime Area with All AminitiesRead more,"₹4,600 per sqft ",₹94.8 Lac 
"4 BHK Penthouse for Sale in Pratishtha Heights, Palanpur Surat",Super Area,3339 sqft,New Property,Poss. by Apr '25,12 out of 13,Unfurnished,South -West,4 BHK Luxurioous Pentahouse For Sell In Gaurav PAth Road With All Aminities .Read more,"₹4,100 per sqft ",₹1.36 Cr 
"3 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",Super Area,1690 sqft,Unfurnished,9 out of 14,New Property,East,Garden/Park,"No Brokerage on this property. Orchid Fantasia is not just a residence its a lifestyle destination where every day is a celebration. The building has the amenities available like club house , garden, children play area, sitting area, club house, basement parking, well designed building reception, 2 automatic auto door lifts etcRead more","₹3,693 per sqft ",₹62.4 Lac 
"3 BHK Apartment for Sale in Aston Aroma, Pal Surat",Super Area,2492 sqft,New Property,Poss. by Sep '25,5 out of 13,Unfurnished,East,"A 3 bedroom  flat, located inPal, is available. It is a Under Construction in flat located in Aston Aroma. Situated in a prominent locality, which is in its prime condition. The flat is on the 7th floor of the building. Aesthetically designed, this property has 3 bathrooms. The property also has 1balconys. The flat has a good view of the locality. The flat is a freehold property and has a super builtUp area of 2492 sq. Ft. The flat is located in a gated society and offers good security. IRead more","₹4,950 per sqft ",₹1.23 Cr 
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,950 sqft,New Property,Poss. by Jan '26,3 out of 14,Unfurnished,East,"Otium, an exclusive collection of 3BHK residences,. It is the ultimate destination that provides proximity to everything that holds utmost importance to you. These artisticallydesigned luxury homes are equipped with stateoftheart facilities and offer breathtaking scenic views that elevate your daily life to a whole new levelRead more","₹3,651 per sqft ",₹63 Lac 
"3 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Carpet Area,1225 sqft,Resale,Ready to Move,5 out of 15,Unfurnished,South -West,No extension charges of Registrations,"₹3,716 per sqft ",₹69 Lac 
"3 BHK Apartment for Sale in Swapnabhoomi, Vesu Surat",Super Area,2152 sqft,Resale,Ready to Move,3 out of 13,Furnished,North,"The beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more","₹6,738 per sqft ",₹1.45 Cr 
3 BHK Apartment for Sale in Vesu Surat,Super Area,1715 sqft,New Property,Poss. by Oct '24,10 out of 13,Unfurnished,East,"Pay Only 16lacs And Then No Payment Till Possession. Floor Height 10.4inch, No Any Hidden chargesRead more","₹4,781 per sqft ",₹82 Lac 
3 BHK Apartment for Sale in Althan Surat,Super Area,1757 sqft,New Property,Poss. by Aug '24,6 out of 13,Unfurnished,East,3 BHK Luxurious Flat For Sell In New Althan Area With All Aminities .Read more,"₹3,682 per sqft ",₹64.7 Lac 
3 BHK Apartment for Sale in Bhimrad Surat,Carpet Area,1160 sqft,Unfurnished,Poss. by Jan '25,New Property,East,Main Road,They provide Skillfully designed 3BHK apartments with all necessities.Read more,"₹4,545 per sqft ",₹90.6 Lac 
"3 BHK Apartment for Sale in Milestone Regalia, Vesu Surat",Super Area,2204 sqft,New Property,Poss. by Jun '25,8 out of 14,Unfurnished,East,"milestone regalia is one of the most preferred destinations for apartments in surat. This 3 bhk flat is your ticket to be a part of this community. The apartment occupies a super built up area of 2200 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 1 balcony. This flat is situated on the 5th floor of this 14 floor tall residential building. This residential apartment is currently in under construction.Read more","₹5,808 per sqft ",₹1.28 Cr 
"3 BHK Apartment for Sale in Milestone Regalia, Vesu Surat",Super Area,2204 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,East,"Prime location, all best in class amenities","₹5,808 per sqft ",₹1.28 Cr 
"3 BHK Apartment for Sale in Raghuvir Spectrum, Vesu Surat",Carpet Area,976 sqft,New Property,Ready to Move,10 out of 14,Unfurnished,East,3bhk flets for sell with all amenities.,"₹5,500 per sqft ",₹97.6 Lac 
"3 BHK Apartment for Sale in Pramukh Vivanta, Vesu Surat",Super Area,2630 sqft,Resale,Poss. by Aug '24,7 out of 13,Unfurnished,South -West,,"₹5,000 per sqft ",₹1.31 Cr 
3 BHK Apartment for Sale in Althan Surat,Super Area,1761 sqft,New Property,Ready to Move,6 out of 12,Unfurnished,South - East,3 BHK Luxurious Flat For Sell In Althan Prime Area With All Aminities .For More Details Contact .Read more,"₹3,634 per sqft ",₹64 Lac 
"3 BHK Apartment for Sale in Northern Skyline, Pal Surat",Super Area,1737 sqft,New Property,Poss. by Mar '25,6 out of 13,Unfurnished,East,,"₹4,700 per sqft ",₹81.6 Lac 
"3 BHK Apartment for Sale in Nova Shikharji, Vesu Surat",Super Area,2351 sqft,New Property,Poss. by Dec '25,1 out of 13,Unfurnished,West,"Nova Shikharji is located behind Agrawal Vidhya Vihar School. It is one of the most awaited project in 3 BHK dimension. Nova Shikharji has Jain Temple in the compound only with pathshala. It also has multipurpose hall, gym and indoor games. It has benefit of Solar panels as well as al flats have gas geyser and R.O. Purifier. It also has landscape sitting and walking track for easy living. The mentioned flat has 3 specious bedrooms with 2 bathroom attached and one common.Read more","₹5,130 per sqft ",₹1.20 Cr 
"4 BHK Apartment for Sale in 7 Star Empire Twilight Star, Godadara Surat",Super Area,2250 sqft,Resale,Ready to Move,5 out of 12,Unfurnished,East,godadara near midas square comlex main road,"₹4,444 per sqft ",₹1 Cr 
3 BHK Apartment for Sale in Pal Surat,Super Area,2270 sqft,New Property,Poss. by May '26,5 out of 20,Unfurnished,South -West,Luxurious Flat For Sell In Pal Area.,"₹5,947 per sqft ",₹1.35 Cr 
"3 BHK Apartment for Sale in Grand Vissta, Vesu Surat",Super Area,2358 sqft,New Property,Poss. by Mar '25,5 out of 13,Unfurnished,South -West,"Most Developing location of Vesu and well connected with Highway and International Airport, project with all modern amenities like Reflexology Pathway, Guest rooms, Library and coworking space, stepped  water feature with water curtain and many more such aminities.Read more","₹5,454 per sqft ",₹1.28 Cr 
3 BHK Apartment for Sale in Vesu Surat,Carpet Area,1057 sqft,Resale,Ready to Move,7 out of 10,Semi-Furnished,East,3 bhk semifurnished flat in vesu area for sale good and well maintain buliding well maintain flat old loading so u get more space then now a days flatsRead more,"₹4,062 per sqft ",₹66 Lac 
"3 BHK Apartment for Sale in Orchid Greens, Palanpur Surat",Super Area,1766 sqft,Resale,Ready to Move,5 out of 11,Semi-Furnished,East,3 BHK Furnished Flat For Sell in Palanpur Prime Location .,"₹4,530 per sqft ",₹80 Lac 
"3 BHK Apartment for Sale in Aagam Enclave, Vesu Surat",Carpet Area,1110 sqft,Resale,Ready to Move,8 out of 11,Unfurnished,North - East,Luxurious 3 Bhk Flat For Sell In Vesu,"₹4,216 per sqft ",₹78 Lac 
"3 BHK Apartment for Sale in Sumeru Golden Leaf, Pal Gam Surat",Carpet Area,1130 sqft,New Property,Poss. by Feb '25,5 out of 13,Unfurnished,East,3BHK luxurious flats,"₹5,891 per sqft ",₹1.21 Cr 
"3 BHK Apartment for Sale in Greenopolis, Vesu Surat",Super Area,2585 sqft,New Property,Poss. by Jul '24,7 out of 12,Unfurnished,East,3 BHK Flat for Sell in Vesu prime area,"₹5,338 per sqft ",₹1.38 Cr 
"3 BHK Apartment for Sale in Santvan Lexon, Palanpur Surat",Super Area,1651 sqft,Resale,Poss. by Dec '24,9 out of 14,Unfurnished,East,,"₹4,000 per sqft ",₹66 Lac 
"3 BHK Apartment for Sale in Avadh Habitat, Dumas Road Surat",Super Area,2330 sqft,New Property,Poss. by Dec '24,5 out of 13,Unfurnished,East,3bhk apartment with luxurious amenities in campus,"₹4,500 per sqft ",₹1.04 Cr 
"4 BHK Apartment for Sale in Avadh Habitat, Dumas Road Surat",Super Area,3200 sqft,New Property,Poss. by Jun '24,7 out of 12,Unfurnished,East,,"₹4,500 per sqft ",₹1.44 Cr 
"3 BHK Apartment for Sale in Piramyd Serenity, Palanpur Surat",Super Area,2400 sqft,New Property,Poss. by Jun '25,7 out of 13,Unfurnished,East,"DescriptionThis 3 BHK apartment enjoys a prime location at a tworoad corner, with one being the premium Gaurav Path road and the other a wide 200foot canal road. This unique positioning offers excellent accessibility and scenic views.Read more","₹4,351 per sqft ",₹1.04 Cr 
"3 BHK Apartment for Sale in Sangini Epitome, Bhatha Surat",Super Area,2200 sqft,New Property,Poss. by Dec '24,7 out of 13,Unfurnished,East,Luxurious Flat for Sell In Surat City Prime Area with All AminitiesRead more,"₹4,800 per sqft ",₹1.05 Cr 
"3 BHK Apartment for Sale in Pratishtha Heights, Palanpur Surat",Super Area,1918 sqft,New Property,Poss. by Apr '25,6 out of 13,Unfurnished,South -West,3 And 4 BHK Luxurious Flat For Sell In Gaurav PAth Road .,"₹3,751 per sqft ",₹71.9 Lac 
"3 BHK Apartment for Sale in Piramyd Serenity, Palanpur Surat",Super Area,2441 sqft,Unfurnished,9 out of 13,New Property,East,"Garden/Park, Main Road","No Brokerage on this property. Piramyd Serenity is a luxurious high rise apartment situated nearby gaurav path road, this is a single tower project, the building has the facilities available like garden, sitting area, children play area, basement parking, well designed building recetion etc.Read more","₹4,500 per sqft ",₹1.09 Cr 
"3 BHK Apartment for Sale in RAMESWARAM Ivaan, Palanpur Surat",Super Area,1825 sqft,New Property,Poss. by Dec '24,6 out of 13,Unfurnished,East,"A 3 bedroom flat, located in palanpur, surat, is available. It is a Under Construction flat located in Rameshvarm Ivaan . Situated in a prominent locality, which is in its prime condition. The flat is on the 6th floor of the building. Aesthetically designed, this property has 3 bathrooms. The property also has 1balconys. The flat has a good view of the locality. The flat is a freehold property and has a super built-Up area of 1825 sq. Ft.Read more","₹3,991 per sqft ",₹72.8 Lac 
3 BHK Apartment for Sale in Pal Surat,Carpet Area,955 sqft,New Property,Ready to Move,5 out of 14,Unfurnished,South -West,All flat individual no wall connected with others flat with 11 feet celeing heights in this segemnts.Read more,"₹4,650 per sqft ",₹80.8 Lac 
"3 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Carpet Area,1152 sqft,Resale,Ready to Move,9 out of 15,Unfurnished,South -West,3bhk flate new  in pal palanpore fully luxurious amenities best propertyRead more,"₹3,772 per sqft ",₹70 Lac 
"3 BHK Apartment for Sale in Triyom Abode, Vesu Surat",Super Area,2100 sqft,New Property,Poss. by Dec '27,5 out of 13,Unfurnished,East,"The beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 2,47 water supply for its residents.Read more","₹4,500 per sqft ",₹94.5 Lac 
4 BHK Apartment for Sale in Althan Surat,Super Area,2720 sqft,New Property,Ready to Move,9 out of 14,Unfurnished,South - East,Spacious and Road View Flats4BHK Best Planing In 2720sq.ftPossession in 8months for furniturefor more details and site visit please call meRead more,"₹4,669 per sqft ",₹1.27 Cr 
3 BHK Apartment for Sale in Pal Surat,Super Area,1745 sqft,New Property,Poss. by Dec '24,5 out of 14,Unfurnished,South -West,"2 bhk 1285 sq ft    55. 91 lacs3 bhk1745 sq ft75. 92 lacsgood project near gaurav path road, palRead more","₹4,351 per sqft ",₹75.9 Lac 
3 BHK Builder Floor for Sale in Vesu Surat,Carpet Area,1100 sqft,Unfurnished,Poss. by Jul '24,New Property,East,Main Road,The Freshness of the Greenery will bring you peace of mind,"₹5,500 per sqft ",₹1.04 Cr 
"2 BHK Apartment for Sale in Avadh Onica, Dumas Road Surat",Super Area,1400 sqft,New Property,Poss. by Apr '25,5 out of 12,Unfurnished,East,"For those looking to buy a residential property, here comes one of the choicest offerings in Surat, at Dumas. Brought to you by Avadh Group, Avadh Onica is among the newest addresses for homebuyers. This is an underconstruction project right now.Read more","₹4,500 per sqft ",₹63 Lac 
"4 BHK Apartment for Sale in Raghuvir Spectrum, Vesu Surat",Carpet Area,1322 sqft,New Property,Ready to Move,8 out of 14,Unfurnished,East,3bhk and 4bhk flets for sell with all luxurious amenities.,"₹5,500 per sqft ",₹1.32 Cr 
"3 BHK Apartment for Sale in Milestone Regalia, Vesu Surat",Super Area,2200 sqft,Resale,Poss. by Sep '24,6 out of 12,Unfurnished,South -West,,"₹5,700 per sqft ",₹1.25 Cr 
3 BHK Apartment for Sale in Althan Surat,Carpet Area,1000 sqft,New Property,Poss. by Mar '26,9 out of 12,Unfurnished,East,3 bhk Luxurious campus with Morden Emniteiz each flor 2 flat only reasonable rate plz call for side visitRead more,"₹4,436 per sqft ",₹86.5 Lac 
"3 BHK Apartment for Sale in Shukan Lifestyle, Pal Surat",Super Area,2034 sqft,New Property,Poss. by Sep '24,6 out of 13,Unfurnished,East,,"₹5,408 per sqft ",₹1.10 Cr 
"3 BHK Apartment for Sale in Raghuvir Satva, Vesu Surat",Super Area,1895 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,South -West,"Raghuvir satva a 3 BHK project is about to be ready for posessioni. It is very well located in vesu, next to jain temple. All daily shopping needs, banks, atms, near by and good transportation in the area, and ideal place for economy 3 BHK living. Book to select the best tower and floor and enjoy all needed amenities in the well constructed project with 1895 sq-ft 3 BHK residential.Read more","₹6,300 per sqft ",₹1.19 Cr 
"3 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1805 sqft,New Property,Ready to Move,9 out of 12,Unfurnished,East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details. 3 BHK Flat for Sale In Althan Area.Read more,"₹4,211 per sqft ",₹76 Lac 
3 BHK Apartment for Sale in Vesu Surat,Super Area,2200 sqft,New Property,Ready to Move,7 out of 13,Unfurnished,East,,"₹6,000 per sqft ",₹1.32 Cr 
"3 BHK Apartment for Sale in Sangini Nirvana, Vesu Surat",Super Area,2582 sqft,New Property,Ready to Move,5 out of 11,Unfurnished,North - East,Curation of Living Space that Features amenities to fulfill every family members desire .Unwind every chapter of life with fun and laughter. Coined as easy connectivity. Resides at a prominent location offering you leisure and convenience. Near by Jain temple.Read more,"₹6,000 per sqft ",₹1.54 Cr 
"3 BHK Apartment for Sale in Pramukh Revanta, Vesu Surat",Super Area,2400 sqft,New Property,Poss. by Sep '24,8 out of 13,Unfurnished,East,"luxuirious 3 BHK flats in vesu ,near by airport and vr Mall","₹5,111 per sqft ",₹1.22 Cr 
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1725 sqft,New Property,Ready to Move,6 out of 14,Furnished,East,,"₹4,203 per sqft ",₹72.5 Lac 
"3 BHK Apartment for Sale in Happy Residency, Vesu Surat",Carpet Area,1300 sqft,Resale,Ready to Move,9 out of 13,Unfurnished,North - East,Specious 3 Bhk Flat For Sell In Vesu.,"₹4,439 per sqft ",₹91 Lac 
"3 BHK Apartment for Sale in Shaligram Felicity, Pal Surat",Super Area,2205 sqft,New Property,Poss. by Feb '25,5 out of 13,Unfurnished,East,3BHK luxurious flats,"₹4,626 per sqft ",₹1.02 Cr 
"3 BHK Apartment for Sale in Milestone Elitus, Vesu Surat",Super Area,2578 sqft,New Property,Poss. by Aug '24,5 out of 12,Unfurnished,East,3 BHK Luxurious Flat For Sell In Vesu.Contact For More Details.,"₹6,000 per sqft ",₹1.54 Cr 
"3 BHK Apartment for Sale in Nakshatra Galaxia, Palanpur Surat",Super Area,1726 sqft,Resale,Ready to Move,8 out of 15,Unfurnished,East,,"₹3,700 per sqft ",₹63.9 Lac 
3 BHK Apartment for Sale in Grand Callista Surat,Carpet Area,1402 sqft,New Property,Poss. by Dec '26,5 out of 13,Unfurnished,East,3bhk campus with all amenities,"₹5,301 per sqft ",₹1.35 Cr 
"2 BHK Apartment for Sale in Avadh Onica, Dumas Road Surat",Super Area,1400 sqft,New Property,Poss. by Jun '24,6 out of 13,Unfurnished,East,,"₹4,600 per sqft ",₹64.4 Lac 
"3 BHK Apartment for Sale in Sai Parisar, Palanpur Surat",Super Area,1725 sqft,New Property,Poss. by Oct '24,7 out of 13,Unfurnished,East,"This fancy 3 BHK flat sits at the corner of two roads, giving it a special touch. Its made with really nice materials, making it a cozy and fancy place to live in.Read more","₹4,291 per sqft ",₹74 Lac 
"3 BHK Apartment for Sale in Sangini Aura, Pal Surat",Super Area,2360 sqft,New Property,Poss. by Dec '24,7 out of 13,Unfurnished,East,Luxurious Flat for Sell In Surat City Prime Area with All AminitiesRead more,"₹5,500 per sqft ",₹1.29 Cr 
"3 BHK Apartment for Sale in Divine Desire, Palanpur Surat",Super Area,1657 sqft,New Property,Ready to Move,6 out of 13,Unfurnished,East,2 And 3 BHK Luxurious Flat For Sell In Palanpur prime Area With All Aminities.Read more,"₹3,862 per sqft ",₹64 Lac 
"3 BHK Apartment for Sale in Santvan Seron, Palanpur Surat",Super Area,1861 sqft,Unfurnished,9 out of 13,New Property,Garden/Park,Santvan Seron,"No brokerage on this property. Santvan seron is a luxurious high rise apartment, which has only 2 flats on the floor, 2 car alloted parking, garden, children play area, well designed building reception, 2 automatic auto door lifts etcRead more","₹4,294 per sqft ",₹79.9 Lac 
"3 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,2111 sqft,New Property,Poss. by Jun '25,5 out of 13,Unfurnished,East,"A 3 bedroom flat, located in palanpur, surat, is available. It is a Under Construction flat located in Pramukh Amaya  . Situated in a prominent locality, which is in its prime condition. The flat is on the 6th floor of the building. Aesthetically designed, this property has 3 bathrooms. The property also has 1balconys. The flat has a good view of the locality. The flat is a freehold property and has a super builtUp area of 2111 Sqft.Read more","₹4,251 per sqft ",₹89.7 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,1050 sqft,New Property,Ready to Move,4 out of 12,Unfurnished,East,"THIS is seated nestled in the beautiful green area, Lake District, which provides easy access to feel the beauty of nature. It stands as the pole start of grandeur  glamour, which refurbishes lifestyles.Read more","₹4,000 per sqft ",₹73 Lac 
"4 BHK Apartment for Sale in Aston Homes, Palanpur Surat",Carpet Area,2000 sqft,Resale,Ready to Move,5 out of 13,Unfurnished,South -West,4 bhk flate in pal palanpore Gavrav path road palanpore surat fully luxurious amenities good locality location good property for userRead more,"₹4,445 per sqft ",₹1.29 Cr 
"4 BHK Apartment for Sale in Greenopolis, Vesu Surat",Super Area,2831 sqft,New Property,Poss. by Aug '24,5 out of 12,Unfurnished,North,"Looking for a 4 bhk property for sale in surat Buy this 4 bhk flat in dmd park that is situated in vesu, surat. The flat is southFacing. Constructed on a super built up area of 2831 sq.Ft., the flat comprises 4 bedrooms, 4 bathrooms and 1 balconies. The residential building has 12 floors in total and the flat for sale is located on the 5th floor. This residential property is still under construction and will be available for possession by august 2026Read more","₹5,500 per sqft ",₹1.55 Cr 
3 BHK Apartment for Sale in Althan Surat,Super Area,1715 sqft,New Property,Ready to Move,2 out of 13,Unfurnished,East,"100 Percent Vastu Flat, 10.4inch Floor Height, 4Side Open Campus, Very Easy Payment ScheduleRead more","₹4,665 per sqft ",₹80 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1616 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,South -West,2 bhk flat for sale in althan. ::::100 percent white payment.::::1 km from surat diamond bourse::::4 KM FROM SURAT AIRPORTRead more,"₹4,000 per sqft ",₹64.6 Lac 
3 BHK Builder Floor for Sale in Adajan Surat,Carpet Area,1440 sqft,Unfurnished,Poss. by Aug '24,New Property,East,Main Road,Corner Plot 2 Side Road Touch Project,"₹4,351 per sqft ",₹1.04 Cr 
"3 BHK Apartment for Sale in Swapnabhoomi, Vesu Surat",Super Area,1962 sqft,New Property,Ready to Move,10 out of 13,Unfurnished,East,"This enchanting piece of architectural excellence spread in the massive expanse of 1,29,532.9 sq.ft. has been christened as Swapnabhoomi  3 BHK spaces contained in 13 storey 8 magnificent towers and 1962  2152 sq.ft. offering glimpses of exquisite life.  A lifestyle promising fine amalgamation of class, convenience and comfort is located at Vesu and is securely connected with all the major landmarks of the city.Read more","₹5,097 per sqft ",₹1 Cr 
"3 BHK Apartment for Sale in Surya Darshan, Citylight Area Surat",Super Area,2400 sqft,Resale,Ready to Move,3 out of 12,Furnished,Garden/Park,"Ready to move, well furnished 3 bhk apartment in prime city light areaRead more","₹5,208 per sqft ",₹1.25 Cr 
"3 BHK Apartment for Sale in Raghuvir Satva, Vesu Surat",Carpet Area,1042 sqft,New Property,Ready to Move,4 out of 13,Unfurnished,East,3 bhk avant garde lifestyl new property in vesu good location.,"₹7,000 per sqft ",₹1.32 Cr 
3 BHK Apartment for Sale in Althan Surat,Super Area,1773 sqft,New Property,Poss. by Oct '24,9 out of 12,Unfurnished,East,3 bhk flat for sale in candle althan project by s group. Near surat airport and diamond bourseRead more,"₹4,351 per sqft ",₹77.1 Lac 
"3 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,2111 sqft,New Property,Poss. by Sep '25,7 out of 13,Unfurnished,East,3 bhk luxurious and spacious flat for sale in pramukh amaya pal gaurav path road surat. Subvention scheme available for 20 percent to be paid in 2 to 3 monthsRead more,"₹4,251 per sqft ",₹89.7 Lac 
"3 BHK Apartment for Sale in Raghuvir Spalex, Vesu Surat",Carpet Area,5500 sqft,New Property,Ready to Move,5 out of 10,Unfurnished,"Garden/Park, Main Road",Raghuvir spalex is well located in vesu and budgeted 1902 sq ft 3 bhk flat at a good price is a nice place to live in. All amenities with big central garden makes the project live and happy place to liveRead more,"₹5,500 per sqft ",₹1.04 Cr 
"3 BHK Apartment for Sale in Milestone Regalia, Vesu Surat",Super Area,2205 sqft,New Property,Ready to Move,5 out of 13,Unfurnished,East,"nteresting Property detailsAdd Interesting details about your property e.g. Eastfacing, with modular kitchen, power backup for immediate saleRead more","₹5,488 per sqft ",₹1.21 Cr 
3 BHK Apartment for Sale in Vesu Surat,Super Area,2360 sqft,New Property,Ready to Move,7 out of 14,Unfurnished,East,,"₹6,297 per sqft ",₹1.48 Cr 
3 BHK Apartment for Sale in Vesu Surat,Super Area,2422 sqft,New Property,Poss. by Jan '25,4 out of 13,Unfurnished,South -West,"Modern 3  BHK project with all the amenities and jain derasar inside the campus,well  connected with shopping complex, school, hospital.Read more","₹5,151 per sqft ",₹1.24 Cr 
"2 BHK Apartment for Sale in Echo Point, Althan Surat",Super Area,1180 sqft,Resale,Ready to Move,5 out of 13,Furnished,Garden/Park,fully furnished 2 bhk flat for sale TV was not in list,"₹5,508 per sqft ",₹65 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,1008 sqft,Resale,Ready to Move,9 out of 13,Unfurnished,East,,"₹3,625 per sqft ",₹63 Lac 
"3 BHK Apartment for Sale in Pioneer Belina, Bhimrad Surat",Carpet Area,902 sqft,Resale,Ready to Move,8 out of 13,Unfurnished,North - East,Luxurious 3 Bhk Flat For Sell with Modern Amenities.,"₹5,183 per sqft ",₹85 Lac 
3 BHK Apartment for Sale in Adajan Surat,Carpet Area,1100 sqft,Resale,Ready to Move,6 out of 9,Semi-Furnished,East,3bhk semi farnished flat for sale on tgb circal,"₹4,587 per sqft ",₹75 Lac 
"2 BHK Apartment for Sale in Raghuvir Spalex, Vesu Surat",Super Area,1365 sqft,New Property,Poss. by Jul '24,6 out of 12,Unfurnished,East,,"₹5,500 per sqft ",₹75.1 Lac 
"3 BHK Apartment for Sale in Suryam Primrose, Pal Surat",Carpet Area,1142 sqft,New Property,Poss. by Oct '25,9 out of 13,Unfurnished,East,,"₹4,434 per sqft ",₹92 Lac 
3 BHK Apartment for Sale in Bamroli Surat,Carpet Area,929 sqft,New Property,Poss. by Feb '26,5 out of 13,Unfurnished,East,3bhk Budget friendly apartment,"₹3,681 per sqft ",₹62.2 Lac 
"3 BHK Apartment for Sale in Sky Superia, VIP Road Surat",Super Area,2493 sqft,New Property,Ready to Move,5 out of 12,Unfurnished,South -West,3 BHK Luxurious Flat For Sell in Vesu With All Aminities.Contact For More Details .Read more,"₹5,616 per sqft ",₹1.40 Cr 
"3 BHK Apartment for Sale in Globcon Spendora, Palanpur Surat",Super Area,1550 sqft,New Property,Poss. by Sep '24,6 out of 14,Unfurnished,East,"This 2 BHK flat is ready to move into within just 8 months, ensuring a quick transition to your new home. Additionally, you can check out a sample flat to get a glimpse of what to expect. Enjoy the convenience and peace of mind of moving into a wellprepared residence in a timely manner.Read more","₹4,200 per sqft ",₹65.1 Lac 
"4 BHK Apartment for Sale in Shaligram Felicity, Pal Surat",Super Area,2700 sqft,New Property,Poss. by Dec '24,6 out of 13,Unfurnished,East,Luxurious Flat for Sell In Surat City Prime Area with All AminitiesRead more,"₹4,751 per sqft ",₹1.28 Cr 
"3 BHK Apartment for Sale in Supath Enclave, Adajan Surat",Super Area,1857 sqft,New Property,Ready to Move,7 out of 13,Unfurnished,East,Luxurious Flat For Sell In Adajan Prime Area With Attactive Price In Area.Read more,"₹4,300 per sqft ",₹79.9 Lac 
3 BHK Apartment for Sale in Pal Surat,Super Area,1900 sqft,Unfurnished,7 out of 13,New Property,East,"Garden/Park, Main Road","No brokerage on this property, All flats are Garden or Road facing, An excellent residential project situated at a prime location of Pal, Attractive payment terms available. For more details feel free to contact usRead more","₹4,550 per sqft ",₹86.5 Lac 
"3 BHK Apartment for Sale in Serenity Homes, Pal Surat",Super Area,1850 sqft,New Property,Poss. by Sep '25,5 out of 13,Unfurnished,East,"A beautiful 3 bhk apartment in pal, surat. The property is a part of Serenity Homes. It is a new property in a promising locality. This well It is located on the 1st floor. The property ownership is freehold type and has a super builtUp area of 1850. Ft. The price of the property is estimated at rs. And per unit area cost is at rs. 4651per sq. Ft. The apartment is new construction.Read more","₹4,651 per sqft ",₹86 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,974 sqft,Resale,Ready to Move,8 out of 13,Unfurnished,South -West,Exclusively designer flat 3bhk with 2 car alloted parking.,"₹3,664 per sqft ",₹65 Lac 
